"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","Sepal.Length.Classification","Petal.Length.Classification","Area","Area.Classification"
5.9,3,4.2,1.5,"versicolor","Medium","Large",17.7,"Small"
6,2.2,4,1,"versicolor","Medium","Medium",13.2,"Small"
6.1,2.9,4.7,1.4,"versicolor","Long","Large",17.69,"Small"
5.6,2.9,3.6,1.3,"versicolor","Medium","Medium",16.24,"Small"
6.7,3.1,4.4,1.4,"versicolor","Long","Large",20.77,"Medium"
5.6,3,4.5,1.5,"versicolor","Medium","Large",16.8,"Small"
5.8,2.7,4.1,1,"versicolor","Medium","Large",15.66,"Small"
6.2,2.2,4.5,1.5,"versicolor","Long","Large",13.64,"Small"
5.6,2.5,3.9,1.1,"versicolor","Medium","Medium",14,"Small"
5.9,3.2,4.8,1.8,"versicolor","Medium","Large",18.88,"Small"
6.1,2.8,4,1.3,"versicolor","Long","Medium",17.08,"Small"
6.3,2.5,4.9,1.5,"versicolor","Long","Large",15.75,"Small"
6.1,2.8,4.7,1.2,"versicolor","Long","Large",17.08,"Small"
6.4,2.9,4.3,1.3,"versicolor","Long","Large",18.56,"Small"
6.6,3,4.4,1.4,"versicolor","Long","Large",19.8,"Small"
6.8,2.8,4.8,1.4,"versicolor","Long","Large",19.04,"Small"
6.7,3,5,1.7,"versicolor","Long","Large",20.1,"Medium"
6,2.9,4.5,1.5,"versicolor","Medium","Large",17.4,"Small"
5.7,2.6,3.5,1,"versicolor","Medium","Medium",14.82,"Small"
5.5,2.4,3.8,1.1,"versicolor","Medium","Medium",13.2,"Small"
5.5,2.4,3.7,1,"versicolor","Medium","Medium",13.2,"Small"
5.8,2.7,3.9,1.2,"versicolor","Medium","Medium",15.66,"Small"
6,2.7,5.1,1.6,"versicolor","Medium","Large",16.2,"Small"
5.4,3,4.5,1.5,"versicolor","Medium","Large",16.2,"Small"
6,3.4,4.5,1.6,"versicolor","Medium","Large",20.4,"Medium"
6.7,3.1,4.7,1.5,"versicolor","Long","Large",20.77,"Medium"
6.3,2.3,4.4,1.3,"versicolor","Long","Large",14.49,"Small"
5.6,3,4.1,1.3,"versicolor","Medium","Large",16.8,"Small"
5.5,2.5,4,1.3,"versicolor","Medium","Medium",13.75,"Small"
5.5,2.6,4.4,1.2,"versicolor","Medium","Large",14.3,"Small"
6.1,3,4.6,1.4,"versicolor","Long","Large",18.3,"Small"
5.8,2.6,4,1.2,"versicolor","Medium","Medium",15.08,"Small"
5,2.3,3.3,1,"versicolor","Short","Medium",11.5,"Small"
5.6,2.7,4.2,1.3,"versicolor","Medium","Large",15.12,"Small"
5.7,3,4.2,1.2,"versicolor","Medium","Large",17.1,"Small"
5.7,2.9,4.2,1.3,"versicolor","Medium","Large",16.53,"Small"
6.2,2.9,4.3,1.3,"versicolor","Long","Large",17.98,"Small"
5.1,2.5,3,1.1,"versicolor","Medium","Medium",12.75,"Small"
5.7,2.8,4.1,1.3,"versicolor","Medium","Large",15.96,"Small"
6.3,3.3,6,2.5,"virginica","Long","Large",20.79,"Medium"
5.8,2.7,5.1,1.9,"virginica","Medium","Large",15.66,"Small"
7.1,3,5.9,2.1,"virginica","Long","Large",21.3,"Medium"
6.3,2.9,5.6,1.8,"virginica","Long","Large",18.27,"Small"
6.5,3,5.8,2.2,"virginica","Long","Large",19.5,"Small"
7.6,3,6.6,2.1,"virginica","Long","Large",22.8,"Medium"
4.9,2.5,4.5,1.7,"virginica","Short","Large",12.25,"Small"
7.3,2.9,6.3,1.8,"virginica","Long","Large",21.17,"Medium"
6.7,2.5,5.8,1.8,"virginica","Long","Large",16.75,"Small"
7.2,3.6,6.1,2.5,"virginica","Long","Large",25.92,"Medium"
6.5,3.2,5.1,2,"virginica","Long","Large",20.8,"Medium"
6.4,2.7,5.3,1.9,"virginica","Long","Large",17.28,"Small"
6.8,3,5.5,2.1,"virginica","Long","Large",20.4,"Medium"
5.7,2.5,5,2,"virginica","Medium","Large",14.25,"Small"
5.8,2.8,5.1,2.4,"virginica","Medium","Large",16.24,"Small"
6.4,3.2,5.3,2.3,"virginica","Long","Large",20.48,"Medium"
6.5,3,5.5,1.8,"virginica","Long","Large",19.5,"Small"
7.7,3.8,6.7,2.2,"virginica","Long","Large",29.26,"Medium"
7.7,2.6,6.9,2.3,"virginica","Long","Large",20.02,"Medium"
6,2.2,5,1.5,"virginica","Medium","Large",13.2,"Small"
6.9,3.2,5.7,2.3,"virginica","Long","Large",22.08,"Medium"
5.6,2.8,4.9,2,"virginica","Medium","Large",15.68,"Small"
7.7,2.8,6.7,2,"virginica","Long","Large",21.56,"Medium"
6.3,2.7,4.9,1.8,"virginica","Long","Large",17.01,"Small"
6.7,3.3,5.7,2.1,"virginica","Long","Large",22.11,"Medium"
7.2,3.2,6,1.8,"virginica","Long","Large",23.04,"Medium"
6.2,2.8,4.8,1.8,"virginica","Long","Large",17.36,"Small"
6.1,3,4.9,1.8,"virginica","Long","Large",18.3,"Small"
6.4,2.8,5.6,2.1,"virginica","Long","Large",17.92,"Small"
7.2,3,5.8,1.6,"virginica","Long","Large",21.6,"Medium"
7.4,2.8,6.1,1.9,"virginica","Long","Large",20.72,"Medium"
7.9,3.8,6.4,2,"virginica","Long","Large",30.02,"Large"
6.4,2.8,5.6,2.2,"virginica","Long","Large",17.92,"Small"
6.3,2.8,5.1,1.5,"virginica","Long","Large",17.64,"Small"
6.1,2.6,5.6,1.4,"virginica","Long","Large",15.86,"Small"
7.7,3,6.1,2.3,"virginica","Long","Large",23.1,"Medium"
6.3,3.4,5.6,2.4,"virginica","Long","Large",21.42,"Medium"
6.4,3.1,5.5,1.8,"virginica","Long","Large",19.84,"Small"
6,3,4.8,1.8,"virginica","Medium","Large",18,"Small"
6.9,3.1,5.4,2.1,"virginica","Long","Large",21.39,"Medium"
6.7,3.1,5.6,2.4,"virginica","Long","Large",20.77,"Medium"
6.9,3.1,5.1,2.3,"virginica","Long","Large",21.39,"Medium"
5.8,2.7,5.1,1.9,"virginica","Medium","Large",15.66,"Small"
6.8,3.2,5.9,2.3,"virginica","Long","Large",21.76,"Medium"
6.7,3.3,5.7,2.5,"virginica","Long","Large",22.11,"Medium"
6.7,3,5.2,2.3,"virginica","Long","Large",20.1,"Medium"
6.3,2.5,5,1.9,"virginica","Long","Large",15.75,"Small"
6.5,3,5.2,2,"virginica","Long","Large",19.5,"Small"
6.2,3.4,5.4,2.3,"virginica","Long","Large",21.08,"Medium"
5.9,3,5.1,1.8,"virginica","Medium","Large",17.7,"Small"
